feature,gain,split,gain_pct
spread_ret_lag1,0.13888990227133036,7,23.776756408689028
mkt_vol_20,0.11581019777804613,4,19.825709552530213
mkt_mom_20,0.0640665115788579,3,10.967635622560284
mkt_mom_5,0.06137370131909847,3,10.50664967214872
mkt_ret_lag_4,0.05146528035402298,3,8.810413244383748
cs_disp_ma20,0.041749000549316406,2,7.147069730296905
mkt_ret_lag_1,0.029757199808955193,2,5.094176608174225
inst_id,0.028738499619066715,2,4.919783899472152
spread_z_20,0.021344000473618507,1,3.6539092601329215
mkt_ret_lag_5,0.02014450915157795,2,3.4485666649399387
spread_z_60,0.01080270018428564,1,1.8493293366718666
ret_lag_3,0.0,0,0.0
ret_lag_5,0.0,0,0.0
ret_lag_6,0.0,0,0.0
ret_lag_7,0.0,0,0.0
ret_lag_4,0.0,0,0.0
ret_lag_1,0.0,0,0.0
ret_lag_2,0.0,0,0.0
ret_std_60,0.0,0,0.0
ret_mean_60,0.0,0,0.0
ret_std_20,0.0,0,0.0
ret_mean_20,0.0,0,0.0
ret_std_10,0.0,0,0.0
ret_mean_10,0.0,0,0.0
ret_std_5,0.0,0,0.0
ret_mean_5,0.0,0,0.0
ret_lag_10,0.0,0,0.0
ret_lag_9,0.0,0,0.0
ret_lag_8,0.0,0,0.0
ret_skew_20,0.0,0,0.0
mom_5,0.0,0,0.0
ret_kurt_20,0.0,0,0.0
ret_skew_60,0.0,0,0.0
ret_kurt_60,0.0,0,0.0
frac_up_5,0.0,0,0.0
frac_up_10,0.0,0,0.0
frac_up_20,0.0,0,0.0
max_ret_20,0.0,0,0.0
min_ret_20,0.0,0,0.0
mom_10,0.0,0,0.0
mom_20,0.0,0,0.0
mom_60,0.0,0,0.0
ewm_ret_hl5,0.0,0,0.0
ewm_ret_hl20,0.0,0,0.0
ewm_vol_94,0.0,0,0.0
vol_ratio_5_20,0.0,0,0.0
vol_ratio_10_60,0.0,0,0.0
autocorr1_20,0.0,0,0.0
autocorr1_60,0.0,0,0.0
streak,0.0,0,0.0
macd,0.0,0,0.0
rsi_14,0.0,0,0.0
rsi_7,0.0,0,0.0
ma_cross_10_50,0.0,0,0.0
ma_cross_5_20,0.0,0,0.0
px_over_ma_50,0.0,0,0.0
px_over_ma_20,0.0,0,0.0
px_over_ma_10,0.0,0,0.0
px_over_ma_5,0.0,0,0.0
price_z_60,0.0,0,0.0
price_z_20,0.0,0,0.0
macd_signal,0.0,0,0.0
drawdown_60,0.0,0,0.0
macd_hist,0.0,0,0.0
drawdown_20,0.0,0,0.0
runup_20,0.0,0,0.0
resid_ret_1,0.0,0,0.0
corr_mkt_60,0.0,0,0.0
beta_60,0.0,0,0.0
cs_z_mom20,0.0,0,0.0
cs_ret1_demeaned,0.0,0,0.0
cs_rank_vol20,0.0,0,0.0
cs_rank_mom20,0.0,0,0.0
cs_rank_mom5,0.0,0,0.0
cs_rank_ret1,0.0,0,0.0
days_since_max_20,0.0,0,0.0
runup_60,0.0,0,0.0
mkt_ret_lag_3,0.0,0,0.0
mkt_ret_lag_2,0.0,0,0.0
breadth_1,0.0,0,0.0
is_algo,0.0,0,0.0
day_mod_5,0.0,0,0.0
